"time","Mx","My","M_eliminated"
3.3,0.182144433125891,0.507064556589699,0.41079101028441
3.31,0.181703070364627,0.506960148926075,0.411336780709298
3.32,0.181265014451307,0.506853753534913,0.411881232013779
3.33,0.180830235097475,0.506745390829628,0.412424374072897
3.34,0.180398702296495,0.506635081032256,0.412966216671249
3.35,0.179970386321179,0.506522844175071,0.41350676950375
3.36,0.179545257720802,0.50640870010261,0.414046042176587
3.37,0.179123287318262,0.506292668473606,0.414584044208132
3.38,0.178704446207871,0.50617476876248,0.415120785029649
3.39,0.178288705753156,0.506055020260845,0.415656273985999
3.4,0.177876037584241,0.505933442079281,0.416190520336478
3.41,0.177466413595083,0.505810053149212,0.416723533255705
3.42,0.17705980594092,0.505684872224641,0.417255321834439
3.43,0.176656187036135,0.5055579178836,0.417785895080265
3.44,0.176255529551907,0.505429208529747,0.418315261918345
3.45,0.175857806413677,0.50529876239409,0.418843431192233
3.46,0.175462990798697,0.505166597536645,0.419370411664658
3.47,0.175071056133708,0.505032731848023,0.419896212018269
3.48,0.174681976092654,0.504897183050976,0.42042084085637
3.49,0.174295724594392,0.504759968701955,0.420944306703653
3.5,0.173912275800412,0.504621106192662,0.421466618006926
3.51,0.17353160411279,0.504480612751437,0.421987783135773
3.52,0.17315368417162,0.504338505445001,0.422507810383378
3.53,0.17277849085257,0.504194801180126,0.423026707967304
3.54,0.17240599926498,0.504049516704914,0.423544484030106
3.55,0.172036184749971,0.503902668610092,0.424061146639936
3.56,0.171669022878185,0.503754273330545,0.42457670379127
3.57,0.171304489447409,0.503604347146926,0.425091163405664
3.58,0.170942560480378,0.503452906187156,0.425604533332465
3.59,0.170583212222936,0.503299966427666,0.426116821349398
3.6,0.170226421142013,0.503145543694775,0.426628035163211
3.61,0.169872163923445,0.502989653666175,0.42713818241038
3.62,0.169520417469861,0.502832311872357,0.427647270657781
3.63,0.169171158898688,0.502673533697977,0.428155307403334
3.64,0.168824365540178,0.502513334383189,0.428662300076632
3.65,0.168480014935441,0.502351729024985,0.429168256039574
3.66,0.168138084834478,0.502188732578528,0.429673182586994
3.67,0.167798553194422,0.502024359858353,0.430177086947225
3.68,0.167461398177328,0.501858625539863,0.430679976282809
3.69,0.167126598148061,0.501691544160766,0.431181857691173
3.7,0.166794131672671,0.50152313012218,0.431682738205149
3.71,0.166463977516754,0.501353397689744,0.432182624793502
3.72,0.166136114643512,0.501182360994939,0.43268152436155
3.73,0.165810522211705,0.501010034036476,0.433179443751819
3.74,0.165487179573761,0.500836430681584,0.433676389744655
3.75,0.165166066274193,0.500661564667084,0.434172369058723
3.76,0.164847162047857,0.50048544960057,0.434667388351572
3.77,0.164530446818072,0.500308098961691,0.435161454220237
3.78,0.164215900694807,0.500129526103377,0.435654573201815
3.79,0.163903503972959,0.499949744253017,0.436146751774025
3.8,0.163593237130652,0.499768766513603,0.436637996355745
3.81,0.163285080827553,0.499586605864888,0.437128313307559
3.82,0.162979015903168,0.499403275164532,0.4376177089323
3.83,0.162675023375336,0.499218787149132,0.438106189475532
3.84,0.162373084438317,0.499033154435518,0.438593761126164
3.85,0.162073180460985,0.498846389521983,0.439080430017032
3.86,0.16177529298542,0.498658504789236,0.439566202225344
3.87,0.161479403725501,0.498469512501362,0.440051083773137
3.88,0.161185494565234,0.498279424806955,0.440535080627812
3.89,0.160893547556991,0.498088253740315,0.441018198702694
3.9,0.160603544919883,0.497896011222557,0.44150044385756
3.91,0.160315469038391,0.497702709062535,0.441981821899074
3.92,0.160029302460876,0.497508358957858,0.442462338581266
3.93,0.159745027897953,0.497312972495995,0.442941999606052
3.94,0.159462628220933,0.497116561155332,0.443420810623736
3.95,0.159182086460339,0.496919136306179,0.443898777233481
3.96,0.158903385804447,0.496720709211768,0.444375904983785
3.97,0.158626509597824,0.496521291029236,0.444852199372939
3.98,0.158351441339878,0.49632089281062,0.445327665849502
3.99,0.158078164683544,0.496119525503741,0.445802309812715
4,0.157806663433651,0.49591719995332,0.446276136613029
4.01,0.157536921545361,0.495713926902037,0.446749151552602
4.02,0.157268923122956,0.495509716991353,0.447221359885691
4.03,0.157002652418627,0.495304580762335,0.447692766819038
4.04,0.156738093831038,0.49509852865663,0.448163377512332
4.05,0.156475231903806,0.494891571017499,0.448633197078696
4.06,0.1562140513241,0.494683718090767,0.449102230585133
4.07,0.155954536921468,0.494474980025624,0.449570483052908
4.08,0.155696673666546,0.494265366875496,0.450037959457958
4.09,0.155440446669665,0.494054888598998,0.450504664731337
4.1,0.155185841179506,0.493843555060842,0.450970603759652
4.11,0.154932842581824,0.493631376032707,0.451435781385468
4.12,0.154681436398191,0.493418361194094,0.451900202407715
4.13,0.154431608284737,0.493204520133178,0.452363871582085
4.14,0.154183344030902,0.492989862347658,0.45282679362144
4.15,0.153936629558307,0.492774397245524,0.453288973196169
4.16,0.153691450919345,0.492558134146015,0.45375041493464
4.17,0.153447794295837,0.492341082280529,0.454211123423634
4.18,0.153205645997989,0.492123250793336,0.454671103208675
4.19,0.152964992463351,0.491904648742281,0.455130358794368
4.2,0.152725820255577,0.49168528509963,0.455588894644793
4.21,0.15248811606312,0.491465168752954,0.456046715183926
4.22,0.152251866698024,0.491244308505951,0.456503824796026
4.23,0.152017059094913,0.491022713079133,0.456960227825955
4.24,0.151783680309882,0.490800391110578,0.45741592857954
4.25,0.151551717519296,0.490577351156748,0.457870931323956
4.26,0.151321158018634,0.490353601693275,0.458325240288091
4.27,0.151091989221387,0.490129151115704,0.45877885966291
4.28,0.150864198657977,0.489904007740234,0.459231793601789
4.29,0.150637773974679,0.489678179804449,0.459684046220872
4.3,0.150412702932536,0.489451675468051,0.460135621599413
4.31,0.150188973406396,0.48922450281352,0.460586523780084
4.32,0.149966573383694,0.488996669846937,0.461036756769369
4.33,0.149745490963296,0.488768184498773,0.461486324537931
4.34,0.149525714354603,0.488539054624493,0.461935231020904
4.35,0.149307231876653,0.488309288005172,0.462383480118175
4.36,0.149090031957053,0.488078892348215,0.462831075694732
4.37,0.148874103130856,0.487847875288124,0.463278021581019
4.38,0.148659434039522,0.487616244387204,0.463724321573274
4.39,0.148446013430044,0.48738400713615,0.464169979433805
4.4,0.148233830154001,0.487151170954701,0.464614998891298
4.41,0.148022873166514,0.486917743192341,0.465059383641145
4.42,0.147813131525259,0.486683731128973,0.465503137345768
4.43,0.147604594389512,0.486449141975567,0.465946263634921
4.44,0.147397251019226,0.486213982874787,0.466388766105987
4.45,0.147191090774093,0.485978260901629,0.466830648324278
4.46,0.146986103112619,0.485741983064049,0.467271913823331
4.47,0.146782277591289,0.485505156303531,0.46771256610518
4.48,0.146579603863521,0.485267787495794,0.468152608640685
4.49,0.146378071678671,0.485029883451474,0.468592044869855
4.5,0.146177670881259,0.484791450916645,0.469030878202096
4.51,0.1459783914102,0.484552496573344,0.469469112016456
4.52,0.14578022329788,0.484313027040196,0.469906749661924
4.53,0.145583156669193,0.484073048873072,0.470343794457734
4.54,0.145387181740644,0.483832568565697,0.470780249693659
4.55,0.1451922888196,0.483591592550157,0.471216118630244
4.56,0.144998468303466,0.483350127197459,0.471651404499075
4.57,0.144805710678799,0.483108178818136,0.472086110503065
4.58,0.144614006520447,0.48286575366283,0.472520239816722
4.59,0.144423346490736,0.482622857922845,0.472953795586419
4.6,0.144233721338666,0.48237949773069,0.473386780930645
4.61,0.14404512189911,0.482135679160626,0.473819198940263
4.62,0.143857539092017,0.481891408229211,0.474251052678772
4.63,0.14367096392169,0.481646690895783,0.474682345182527
4.64,0.143485387475889,0.481401533063074,0.475113079461037
4.65,0.143300800924972,0.481155940577793,0.475543258497235
4.66,0.143117195521231,0.480909919231077,0.475972885247692
4.67,0.142934562598224,0.480663474758943,0.476401962642832
4.68,0.142752893569991,0.480416612842826,0.476830493587183
4.69,0.14257217993021,0.480169339110143,0.477258480959646
4.7,0.142392413251438,0.47992165913482,0.477685927613742
4.71,0.142213585184458,0.479673578437725,0.478112836377817
4.72,0.142035687457575,0.479425102487155,0.47853921005527
4.73,0.141858711875848,0.479176236699351,0.478965051424801
4.74,0.141682650320351,0.478926986439004,0.479390363240644
4.75,0.141507494747476,0.47867735701973,0.479815148232795
4.76,0.141333237188234,0.478427353704536,0.480239409107229
4.77,0.141159869747575,0.478176981706296,0.480663148546129
4.78,0.140987384603692,0.47792624618821,0.481086369208097
4.79,0.140815774007406,0.477675152264232,0.481509073728362
4.8,0.140645030281388,0.477423704999591,0.481931264719021
4.81,0.140475145819429,0.477171909411293,0.482352944769278
4.82,0.140306113085857,0.476919770468514,0.48277411644563
4.83,0.140137924614969,0.476667293092984,0.483194782292047
4.84,0.139970573010354,0.476414482159453,0.483614944830192
4.85,0.139804050944169,0.476161342496178,0.484034606559653
4.86,0.13963835115648,0.47590787888537,0.48445376995815
4.87,0.139473466454703,0.475654096063576,0.48487243748172
4.88,0.139309389713,0.475399998722091,0.485290611564908
4.89,0.139146113871614,0.475145591507406,0.48570829462098
4.9,0.138983631936237,0.474890879021639,0.486125489042124
4.91,0.138821936977403,0.474635865822947,0.48654219719965
4.92,0.138661022129895,0.47438055642593,0.486958421444175
4.93,0.138500880592152,0.474124955302034,0.487374164105814
4.94,0.138341505625675,0.473869066879952,0.487789427494373
4.95,0.138182890554493,0.473612895545988,0.488204213899519
4.96,0.138025028764501,0.47335644564451,0.488618525590989
4.97,0.137867913702818,0.473099721478379,0.489032364818803
4.98,0.137711538877301,0.472842727309288,0.489445733813411
4.99,0.137555897856044,0.472585467358093,0.489858634785863
5,0.1374009842668,0.472327945805215,0.490271069927985
5.01,1.12931827121787,0.477021980208007,0.493659748574119
5.02,1.12127453700284,0.481689801209577,0.497035661787578
5.03,1.11330408805671,0.486308339653664,0.500387572289618
5.04,1.10540628219461,0.490878031563527,0.503715686241862
5.05,1.09758059063884,0.495399235961108,0.507020173400051
5.06,1.08982632071877,0.499872423143933,0.510301256137295
5.07,1.08214270452176,0.504298114492596,0.513559180985636
5.08,1.07452906385284,0.508676770469409,0.51679416567775
5.09,1.06698475344342,0.513008829177912,0.520006417378668
5.1,1.05950913586443,0.517294723396191,0.523196140739373
5.11,1.05210157593114,0.521534884375862,0.526363539692997
5.12,1.04476144168732,0.525729741173831,0.529508817138845
5.13,1.03748810602417,0.529879719553153,0.532632174422674
5.14,1.03028094750258,0.533985241424724,0.535733811072689
5.15,1.02313935055215,0.538046724712214,0.538813924735632
5.16,1.01606270542318,0.542064583384648,0.541872711192167
5.17,1.00905040740036,0.546039227990654,0.544910364608983
5.18,1.00210185778245,0.54997106499282,0.547927077224727
5.19,0.995216464468343,0.55386049636953,0.550923039162123
5.2,0.98839364068246,0.557707920480941,0.553898438836595
5.21,0.981632804582321,0.561513732335602,0.556853463082074
5.22,0.974933379553944,0.565278323389759,0.559788297056293
5.23,0.968294794432988,0.56900208139712,0.562703124169888
5.24,0.961716483482694,0.572685390423832,0.565598126093471
5.25,0.955197886270376,0.576328630932402,0.568473482797219
5.26,0.948738447568636,0.579932179848815,0.571329372582546
5.27,0.942337617303148,0.583496410598008,0.57416597209884
5.28,0.93599485051774,0.5870216931276,0.576983456354657
5.29,0.929709607335019,0.590508393934641,0.579781998730336
5.3,0.923481352909352,0.593956876097563,0.582561770993082
5.31,0.917309557377514,0.597367499309707,0.585322943312775
5.32,0.911193695814124,0.600740619909609,0.588065684276263
5.33,0.905133248182621,0.604076590914301,0.590790160903074
5.34,0.899127699283419,0.607375762054544,0.593496538662033
5.35,0.893176538712982,0.61063847980263,0.596184981484384
5.36,0.887279260825948,0.613865087398118,0.598855651775931
5.37,0.881435364690369,0.617055924878245,0.601508710431383
5.38,0.875644354039057,0.620211329110986,0.604144316849953
5.39,0.869905737223301,0.623331633826501,0.606762628950194
5.4,0.864219027173919,0.626417169643595,0.609363803182484
5.41,0.858583741361229,0.629468264096916,0.611947994541853
5.42,0.85299940175062,0.632485241667145,0.614515356582232
5.43,0.847465534758917,0.635468423810644,0.617066041430436
5.44,0.841981671212914,0.638418128987625,0.619600199799458
5.45,0.83654734630896,0.641334672689615,0.622117981001422
5.46,0.831162099572648,0.644218367466842,0.624619532960507
5.47,0.825825474818514,0.647069522955619,0.627105002225864
5.48,0.820537020112725,0.649888445903694,0.629574533983578
5.49,0.81529628773089,0.652675440198917,0.63202827207019
5.5,0.81010283411315,0.655430806899752,0.634466358987095
5.51,0.804956219828592,0.658154844259456,0.636888935911949
5.52,0.799856009542536,0.660847847748309,0.639296142709152
5.53,0.79480177197817,0.663510110079675,0.641688117942152
5.54,0.789793079874803,0.666141921238373,0.644064998886821
5.55,0.784829509948008,0.668743568507753,0.646426921544236
5.56,0.779910642856012,0.671315336492535,0.64877402065145
5.57,0.775036063165207,0.67385750714224,0.65110642969255
5.58,0.770205359311918,0.67637035977717,0.653424280910909
5.59,0.765418123564851,0.67885417111392,0.655727705321227
5.6,0.760673951989401,0.681309215289627,0.658016832720969
5.61,0.755972444412853,0.683735763885619,0.660291791701524
5.62,0.751313204389671,0.686134085950997,0.662552709659328
5.63,0.746695839166802,0.688504448026207,0.664799712806988
5.64,0.742119959651554,0.690847114164867,0.667032926183576
5.65,0.737585180375275,0.693162345958444,0.669252473666278
5.66,0.733091119454693,0.695450402562526,0.671458477982778
5.67,0.72863739856128,0.697711540717629,0.673651060721088
5.68,0.724223642893063,0.699946014768359,0.675830342338575
5.69,0.719849481141608,0.702154076685837,0.677996442172552
5.7,0.715514545456109,0.704335976092104,0.680149478451784
5.71,0.71121847140905,0.706491960283449,0.682289568307499
5.72,0.70696089796726,0.708622274250074,0.684416827782662
5.73,0.702741467462227,0.710727160696271,0.686531371841498
5.74,0.698559825557188,0.712806860062774,0.688633314380035
5.75,0.694415621214804,0.714861610548727,0.690722768236466
5.76,0.690308506666422,0.716891648132566,0.692799845201008
5.77,0.686238137382116,0.718897206592379,0.694864656025501
5.78,0.682204172040804,0.720878517526206,0.696917310432987
5.79,0.678206272500376,0.722835810372335,0.698957917127286
5.8,0.674244103770045,0.72476931242809,0.700986583801862
5.81,0.670317333979077,0.726679248871077,0.703003417149843
5.82,0.666425634343512,0.728565842781795,0.70500852287469
5.83,0.66256867913976,0.730429315161576,0.707002005698661
5.84,0.658746145680352,0.732269884949059,0.708983969370586
5.85,0.654957714285527,0.7340877690395,0.71095451667497
5.86,0.651203068252304,0.735883182305779,0.712913749441914
5.87,0.647481893824923,0.737656337618491,0.714861768556583
5.88,0.643793880169921,0.739407445862874,0.716798673967202
5.89,0.640138719350573,0.74113671595618,0.718724564693245
5.9,0.636516106298562,0.742844354866919,0.720639538834516
5.91,0.632925738786152,0.744530567633772,0.722543693580073
5.92,0.629367317399721,0.746195557383567,0.724437125216709
5.93,0.625840545513968,0.747839525348809,0.726319929137219
5.94,0.622345129266187,0.749462670885157,0.728192199848653
5.95,0.618880777530552,0.751065191488896,0.730054030980548
5.96,0.61544720189431,0.752647282813115,0.731905515292572
5.97,0.612044116630857,0.754209138685995,0.733746744683145
5.98,0.608671238671094,0.755750951130277,0.735577810198626
5.99,0.605328287580689,0.757272910378708,0.7373988020406
6,0.602014985539206,0.758775204888224,0.739209809572568
6.01,0.598731057315637,0.760258021356568,0.741010921327792
6.02,0.595476230241779,0.761721544740389,0.74280222501783
6.03,0.592250234186786,0.763165958272524,0.744583807540687
6.04,0.589052801535711,0.764591443476583,0.746355754987703
6.05,0.585883667167502,0.765998180181896,0.748118152650598
6.06,0.582742568430617,0.767386346540083,0.749871085029297
6.07,0.579629245119044,0.768756119041346,0.751614635839607
6.08,0.576543439449535,0.770107672529938,0.753348888020524
6.09,0.573484896039397,0.771441180219253,0.755073923741347
6.1,0.570453361884349,0.77275681370687,0.756789824408778
6.11,0.567448586336375,0.774054742989601,0.75849667067402
6.12,0.56447032108323,0.775335136477418,0.760194542439349
6.13,0.561518320125257,0.776598161009197,0.761883518865543
6.14,0.558592339750722,0.777843981869487,0.763563678379788
6.15,0.555692138516259,0.779072762801788,0.76523509868195
6.16,0.5528174772289,0.780284666020766,0.766897856750331
6.17,0.549968118924995,0.781479852226572,0.76855202884843
6.18,0.547143828847281,0.782658480620423,0.770197690532293
6.19,0.544344374422985,0.783820708919482,0.771834916657529
6.2,0.541569525245357,0.784966693369405,0.773463781385235
6.21,0.538819053054725,0.786096588757209,0.775084358188063
6.22,0.536092731717487,0.787210548425549,0.77669671985696
6.23,0.533390337205488,0.788308724286733,0.778300938507775
6.24,0.530711647576406,0.789391266836043,0.779897085587548
6.25,0.528056442954634,0.790458325164725,0.781485231880637
6.26,0.525424505512214,0.79151004697295,0.783065447514833
6.27,0.522815619449772,0.792546578582758,0.784637801967467
6.28,0.520229570978876,0.793568064950053,0.786202364071068
6.29,0.517666148302077,0.794574649678159,0.787759202019761
6.3,0.51512514159167,0.795566475032252,0.789308383376075
6.31,0.512606342972862,0.796543681950797,0.790849975076337
6.32,0.510109546508301,0.797506410056061,0.792384043435634
6.33,0.507634548179927,0.79845479766644,0.79391065415363
6.34,0.50518114586923,0.799388981809875,0.795429872320892
6.35,0.502749139338396,0.800309098236664,0.796941762424937
6.36,0.500338330214414,0.801215281430257,0.798446388355325
6.37,0.497948521972758,0.802107664618347,0.799943813408892
6.38,0.495579519919309,0.802986379785148,0.80143410029554
6.39,0.493231131172592,0.803851557683467,0.802917311143937
6.4,0.490903164646896,0.804703327846176,0.804393507506925
6.41,0.48859543103581,0.80554181859739,0.805862750366796
6.42,0.486307742795813,0.806367157063626,0.807325100140558
6.43,0.484039914129856,0.80717946918495,0.808780616685191
6.44,0.481791760972176,0.807978879725301,0.81022935930252
6.45,0.479563100971113,0.808765512284163,0.81167138674472
6.46,0.477353753470824,0.80953948930899,0.813106757220182
6.47,0.475163539496797,0.810300932105048,0.814535528398151
6.48,0.472992281742513,0.811049960844478,0.815957757413006
6.49,0.470839804553836,0.811786694576899,0.817373500869262
6.5,0.468705933912023,0.812511251240959,0.818782814847015
6.51,0.466590497417485,0.81322374767536,0.820185754907151
6.52,0.464493324276098,0.813924299628166,0.821582376095733
6.53,0.46241424528516,0.814613021766337,0.8229727329485
6.54,0.460353092817825,0.815290027686312,0.824356879495859
6.55,0.458309700807819,0.815955429924393,0.825734869267786
6.56,0.456283904734894,0.81660933996662,0.827106755298484
6.57,0.454275541610664,0.817251868258405,0.828472590130928
6.58,0.452284449964469,0.817883124214132,0.829832425821396
6.59,0.450310469829247,0.818503216226756,0.831186313943994
6.6,0.448353442728455,0.819112251676687,0.832534305594854
